ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,2
Basic Problems B,Basic Problem B-06,5
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,5
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Basic Problems C,Basic Problem C-01,4
Basic Problems C,Basic Problem C-02,2
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,6
Basic Problems C,Basic Problem C-05,4
Basic Problems C,Basic Problem C-06,5
Basic Problems C,Basic Problem C-07,5
Basic Problems C,Basic Problem C-08,4
Basic Problems C,Basic Problem C-09,4
Basic Problems C,Basic Problem C-10,2
Basic Problems C,Basic Problem C-11,5
Basic Problems C,Basic Problem C-12,6
Challenge Problems B,Challenge Problem B-01,1
Challenge Problems B,Challenge Problem B-02,4
Challenge Problems B,Challenge Problem B-03,4
Challenge Problems B,Challenge Problem B-04,4
Challenge Problems B,Challenge Problem B-05,5
Challenge Problems B,Challenge Problem B-06,5
Challenge Problems B,Challenge Problem B-07,1
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,3
Challenge Problems B,Challenge Problem B-10,4
Challenge Problems B,Challenge Problem B-11,6
Challenge Problems B,Challenge Problem B-12,3
Challenge Problems C,Challenge Problem C-01,4
Challenge Problems C,Challenge Problem C-02,4
Challenge Problems C,Challenge Problem C-03,2
Challenge Problems C,Challenge Problem C-04,6
Challenge Problems C,Challenge Problem C-05,3
Challenge Problems C,Challenge Problem C-06,4
Challenge Problems C,Challenge Problem C-07,0
Challenge Problems C,Challenge Problem C-08,6
Challenge Problems C,Challenge Problem C-09,3
Challenge Problems C,Challenge Problem C-10,6
Challenge Problems C,Challenge Problem C-11,6
Challenge Problems C,Challenge Problem C-12,6
